zip_code,zip_type,ZCTA,borough,name,land_area_acres,population_count,people_per_acre,median_income,income_margin_of_error,percent_low_education,percent_vacant_units,percent_pre1950_units
10292,U,10038,Manhattan,10292,190.46,20300,106.58,65934,5696,16.2,9.6,36.1
10301,S,10301,Staten Island,10301 - New Brighton/Grymes Hill,2341.8,39706,16.96,54792,3354,14.3,14.0,47.6
10302,S,10302,Staten Island,10302 - Port Richmond,764.42,19088,24.97,56883,7509,20.7,10.7,57.5
10303,S,10303,Staten Island,10303 - Mariners Harbour/Point Ivory,2007.88,26337,13.12,50137,4945,17.5,12.3,36.5
10304,S,10304,Staten Island,10304 - Stapleton/Fox Hills,2479.92,42193,17.01,51852,5183,20.9,8.1,30.3
10305,S,10305,Staten Island,10305 - Rosebank,2721.17,41749,15.34,66478,3878,15.0,8.4,25.8
10306,S,10306,Staten Island,10306 - New Dorp/Richmondtown,4782.86,55909,11.69,77720,3902,9.9,5.8,22.0
10307,S,10307,Staten Island,10307 - Tottenville,1255.85,14096,11.22,86011,5922,7.3,8.2,32.7
10308,S,10308,Staten Island,10308 - Great Kills,1262.86,27357,21.66,90196,4912,8.3,3.6,14.2
10309,S,10309,Staten Island,10309 - Princes Bay/Woodrow,4300.26,32519,7.56,86759,3623,9.2,6.0,8.6
10310,S,10310,Staten Island,10310 - West New Brighton,1149.1,24962,21.72,62457,6662,13.5,9.7,56.4
10311,S,10311,Staten Island,10311,30.37,0,0,0,0,0.0,0.0,0.0
10312,S,10312,Staten Island,10312 - Eltingville/Annadale,4914.5,59304,12.07,87426,3800,7.5,3.8,6.4
