Created Date,Incident Zip,Borough
06/16/2011 12:00:00 AM,10453,BRONX
06/16/2011 12:00:00 AM,10468,BRONX
06/16/2011 12:00:00 AM,11236,BROOKLYN
06/16/2011 12:00:00 AM,11211,BROOKLYN
06/16/2011 12:00:00 AM,11238,BROOKLYN
06/16/2011 12:00:00 AM,11692,QUEENS
06/16/2011 12:00:00 AM,11222,BROOKLYN
06/16/2011 12:00:00 AM,11222,BROOKLYN
06/16/2011 12:00:00 AM,10032,MANHATTAN
06/16/2011 12:00:00 AM,11221,BROOKLYN
06/16/2011 12:00:00 AM,11385,QUEENS
06/16/2011 12:00:00 AM,11206,BROOKLYN
06/16/2011 12:00:00 AM,10022,MANHATTAN
06/16/2011 12:00:00 AM,11207,BROOKLYN
06/16/2011 12:00:00 AM,11216,BROOKLYN
06/16/2011 12:00:00 AM,11221,BROOKLYN
06/16/2011 12:00:00 AM,11221,BROOKLYN
06/16/2011 12:00:00 AM,11422,QUEENS
06/16/2011 12:00:00 AM,11206,BROOKLYN
06/16/2011 12:00:00 AM,10022,MANHATTAN
06/16/2011 12:00:00 AM,11225,BROOKLYN
06/17/2011 12:00:00 AM,11208,BROOKLYN
06/17/2011 12:00:00 AM,10306,STATEN ISLAND
06/17/2011 12:00:00 AM,11213,BROOKLYN
06/17/2011 12:00:00 AM,10035,MANHATTAN
06/17/2011 12:00:00 AM,10456,BRONX
06/17/2011 12:00:00 AM,11220,BROOKLYN
06/17/2011 12:00:00 AM,10468,BRONX
06/17/2011 12:00:00 AM,11217,BROOKLYN
06/17/2011 12:00:00 AM,11216,BROOKLYN
06/17/2011 12:00:00 AM,11207,BROOKLYN
06/17/2011 12:00:00 AM,11213,BROOKLYN
06/17/2011 12:00:00 AM,10452,BRONX
06/17/2011 12:00:00 AM,10467,BRONX
06/17/2011 12:00:00 AM,11357,QUEENS
06/17/2011 12:00:00 AM,10016,MANHATTAN
06/17/2011 12:00:00 AM,10032,MANHATTAN
06/17/2011 12:00:00 AM,10456,BRONX
06/17/2011 12:00:00 AM,10473,BRONX
06/17/2011 12:00:00 AM,10027,MANHATTAN
06/17/2011 12:00:00 AM,11207,BROOKLYN
06/17/2011 12:00:00 AM,10306,STATEN ISLAND
06/17/2011 12:00:00 AM,10303,STATEN ISLAND
06/17/2011 12:00:00 AM,10128,MANHATTAN
06/17/2011 12:00:00 AM,10075,MANHATTAN
06/17/2011 12:00:00 AM,11212,BROOKLYN
06/17/2011 12:00:00 AM,11368,QUEENS
06/17/2011 12:00:00 AM,11432,QUEENS
06/17/2011 12:00:00 AM,11357,QUEENS
06/17/2011 12:00:00 AM,11221,BROOKLYN
06/17/2011 12:00:00 AM,10306,STATEN ISLAND
06/17/2011 12:00:00 AM,11432,QUEENS
06/17/2011 12:00:00 AM,10456,BRONX
06/17/2011 12:00:00 AM,11213,BROOKLYN
06/17/2011 12:00:00 AM,10024,MANHATTAN
06/17/2011 12:00:00 AM,10466,BRONX
06/18/2011 12:00:00 AM,10023,MANHATTAN
06/18/2011 12:00:00 AM,11357,QUEENS
06/18/2011 12:00:00 AM,11221,BROOKLYN
06/18/2011 12:00:00 AM,10312,STATEN ISLAND
06/18/2011 12:00:00 AM,11433,QUEENS
06/18/2011 12:00:00 AM,10040,MANHATTAN
06/18/2011 12:00:00 AM,11373,QUEENS
06/18/2011 12:00:00 AM,10037,MANHATTAN
06/18/2011 12:00:00 AM,10025,MANHATTAN
06/18/2011 12:00:00 AM,10455,BRONX
06/18/2011 12:00:00 AM,11102,QUEENS
06/18/2011 12:00:00 AM,10469,BRONX
06/18/2011 12:00:00 AM,10472,BRONX
06/18/2011 12:00:00 AM,10457,BRONX
06/18/2011 12:00:00 AM,11238,BROOKLYN
06/18/2011 12:00:00 AM,10462,BRONX
06/18/2011 12:00:00 AM,11233,BROOKLYN
06/18/2011 12:00:00 AM,11233,BROOKLYN
06/18/2011 12:00:00 AM,11385,QUEENS
06/18/2011 12:00:00 AM,10025,MANHATTAN
06/18/2011 12:00:00 AM,10002,MANHATTAN
06/18/2011 12:00:00 AM,10457,BRONX
06/18/2011 12:00:00 AM,10456,BRONX
06/18/2011 12:00:00 AM,10025,MANHATTAN
06/18/2011 12:00:00 AM,11208,BROOKLYN
06/18/2011 12:00:00 AM,10312,STATEN ISLAND
06/18/2011 12:00:00 AM,11234,BROOKLYN
06/18/2011 12:00:00 AM,10034,MANHATTAN
06/18/2011 12:00:00 AM,11215,BROOKLYN
06/18/2011 12:00:00 AM,10304,STATEN ISLAND
06/18/2011 12:00:00 AM,10475,BRONX
06/18/2011 12:00:00 AM,10128,MANHATTAN
06/18/2011 12:00:00 AM,10312,STATEN ISLAND
06/18/2011 12:00:00 AM,10468,BRONX
06/18/2011 12:00:00 AM,11385,QUEENS
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10009,MANHATTAN
06/19/2011 12:00:00 AM,11432,QUEENS
06/19/2011 12:00:00 AM,11203,BROOKLYN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,11213,BROOKLYN
06/19/2011 12:00:00 AM,10031,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10453,BRONX
06/19/2011 12:00:00 AM,11238,BROOKLYN
06/19/2011 12:00:00 AM,11221,BROOKLYN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10037,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
