ZCTA,land_area_sq_meters,land_area_acres,water_area_sq_meters,water_area_acres,population_count,housing_unit_count,people_per_acre,housing_units_per_acre
10065,1000544,247.24,0,0.00,32270,22754,130.52,92.03
10069,269802,66.67,0,0.00,5199,3146,77.98,47.19
10075,477958,118.11,0,0.00,26121,16493,221.16,139.64
10103,24776,6.12,0,0.00,3,0,0.49,0.00
10110,26711,6.60,0,0.00,0,0,0.00,0.00
10111,9576,2.37,0,0.00,0,0,0.00,0.00
10112,15253,3.77,0,0.00,0,0,0.00,0.00
10115,6618,1.64,0,0.00,0,0,0.00,0.00
10119,42613,10.53,0,0.00,92,0,8.74,0.00
10128,1219025,301.23,0,0.00,60453,35240,200.69,116.99
10152,12423,3.07,0,0.00,0,0,0.00,0.00
10153,12281,3.03,0,0.00,0,0,0.00,0.00
10154,12382,3.06,0,0.00,0,0,0.00,0.00
10162,29442,7.28,0,0.00,1685,824,231.60,113.26
10165,13058,3.23,0,0.00,2,2,0.62,0.62
10167,12396,3.06,0,0.00,0,0,0.00,0.00
10168,13211,3.26,0,0.00,0,0,0.00,0.00
10169,9924,2.45,0,0.00,0,0,0.00,0.00
10170,24921,6.16,0,0.00,2,0,0.32,0.00
10171,12470,3.08,0,0.00,0,0,0.00,0.00
10172,12415,3.07,0,0.00,0,0,0.00,0.00
10173,12297,3.04,0,0.00,2,0,0.66,0.00
10174,13224,3.27,0,0.00,0,0,0.00,0.00
10177,5421,1.34,0,0.00,0,0,0.00,0.00
10199,66729,16.49,0,0.00,9,1,0.55,0.06
10271,6779,1.68,0,0.00,0,0,0.00,0.00
10278,33630,8.31,0,0.00,0,0,0.00,0.00
10279,10805,2.67,0,0.00,0,0,0.00,0.00
10280,358650,88.63,0,0.00,7853,4962,88.61,55.99
10282,226578,55.99,0,0.00,4783,2484,85.43,44.37
10301,9476759,2341.80,16101,3.98,39706,16261,16.96,6.94
10302,3093431,764.42,0,0.00,19088,6427,24.97,8.41
10303,8125465,2007.88,73296,18.11,26337,8811,13.12,4.39
10304,10035690,2479.92,19194,4.74,42193,15467,17.01,6.24
10305,11011994,2721.17,63394,15.67,41749,16187,15.34,5.95
10306,19355176,4782.86,152561,37.70,55909,22017,11.69,4.60
10307,5082132,1255.85,17221,4.26,14096,5354,11.22,4.26
10308,5110510,1262.86,12006,2.97,27357,10715,21.66,8.48
10309,17402201,4300.26,108120,26.72,32519,11686,7.56,2.72
10310,4650151,1149.10,0,0.00,24962,9043,21.72,7.87
10311,122886,30.37,0,0.00,0,0,0.00,0.00
10312,19887900,4914.50,369053,91.20,59304,22155,12.07,4.51
10314,35520695,8777.52,1668621,412.33,85510,32533,9.74,3.71
10451,2628487,649.53,3019,0.75,45713,17779,70.38,27.37
10452,2550148,630.17,0,0.00,75371,25866,119.60,41.05
10453,2372412,586.25,12725,3.14,78309,27018,133.58,46.09
10454,2699702,667.12,0,0.00,37337,12772,55.97,19.14
10455,1844518,455.80,0,0.00,39665,13851,87.02,30.39
